,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
1086,Can I reach you on your phone?,Call me at 832.865.2445.,8,2,I've found some important information regarding our project.,Call me at 832.865.2445.,7,2,Call me at 832.865.2445.,1,low,0.0,4,low,high,medium,high,low,high,3.0,2.0
1087,When are you free to meet up?,Talk to you soon.,6,1,Have we scheduled our next meeting?,Talk to you soon.,8,2,Talk to you soon.,7,high,0.0,4,low,low,low,low,low,low,1.0,1.0
1088,"made it to the meeting on time, did you get stuck in traffic?","Lynn, got to the office OK.",8,2,Did you take the usual route to the office today?,"Lynn, got to the office OK.",10,2,"Lynn, got to the office OK.",5,mid,2.0,6,low,low,low,high,low,low,1.4,1.0
1089,Are we going to make the meeting on time?,It may be an hour.,4,2,Have you finished preparing the report for tomorrow's meeting?,It may be an hour.,7,2,It may be an hour.,7,high,2.0,5,low,medium,medium,medium,low,low,1.6,1.6
1090,are you looking forward to the party tonight?,Jim please confirm to Vince you are happy.,8,3,The new project's timeline seems quite tight. Are we all in agreement with the deadlines?,Jim please confirm to Vince you are happy.,9,2,Jim please confirm to Vince you are happy.,7,high,3.0,8,low,low,medium,high,low,low,1.4,1.2
1091,When will the mortgage be approved if we use Barclays for the loan?,If he'll sign no issues with Barclays.,6,3,Have you heard if John can get approved for a loan with Barclays?,If he'll sign no issues with Barclays.,7,1,If he'll sign no issues with Barclays.,5,mid,3.0,7,low,high,medium,high,low,low,2.2,2.0
1092,"We're running late for our flight, are we going to make it?",We're on the way.,6,1,"We're meeting at the usual place today, right?",We're on the way.,10,1,We're on the way.,8,high,0.0,4,low,high,medium,medium,low,low,2.0,2.0
1093,Did you have a relaxing weekend?,Hope your week is going well.,7,2,I've been struggling with my project deadline.,Hope your week is going well.,8,3,Hope your week is going well.,8,high,1.0,6,low,high,low,high,low,low,2.2,1.8
1094,Can I meet you at 3 pm today?,Is this the only time available?,6,2,Can we meet next Tuesday at 3 PM?,Is this the only time available?,10,1,Is this the only time available?,9,high,2.0,6,low,high,medium,high,medium,medium,2.6,2.0
1095,can you send me my flight schedule?,We just pulled schedules from the web.,8,2,Have you set a meeting time yet?,We just pulled schedules from the web.,7,2,We just pulled schedules from the web.,7,high,3.0,7,medium,high,medium,low,low,low,1.8,2.4
1096,how was your day so far?,OK I'm fine.,8,2,Did you finish the report for tomorrow's meeting?,OK I'm fine.,10,2,OK I'm fine.,5,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
1097,Did you confirm the meeting with Mary Kay for tomorrow?,Did you get the message to call Mary Kay?,8,2,I found your lost wallet on the bus,Did you get the message to call Mary Kay?,8,2,Did you get the message to call Mary Kay?,7,high,4.0,9,low,high,low,high,low,medium,2.6,1.8
1098,How did the CEO manage to pull off such an innovative presentation?,Even Michael was impressed.,6,2,Did you see that physicist's explanation of quantum mechanics at the conference?,Even Michael was impressed.,7,3,Even Michael was impressed.,7,high,1.0,4,medium,medium,medium,high,low,low,1.8,2.0
1099,will I ever find the one?,No there will be plenty of others.,8,2,Do you know any good Italian restaurants in town?,No there will be plenty of others.,7,2,No there will be plenty of others.,8,high,3.0,7,low,high,low,high,low,low,2.2,1.8
1100,Did you sleep well last night?,I woke up and couldn't get back to sleep.,4,1,Do you feel well enough to come to work today?,I woke up and couldn't get back to sleep.,7,2,I woke up and couldn't get back to sleep.,5,mid,1.0,9,medium,medium,medium,low,low,medium,1.8,2.0
1101,I'm feeling anxious about my upcoming exam.,What is the purpose of this?,6,1,I've found an old map in the attic,What is the purpose of this?,7,2,What is the purpose of this?,8,high,0.0,6,low,high,low,high,low,low,2.2,1.8
1102,The power has gone out and our plans are in jeopardy. What can we do?,First objective is to keep electricity flowing.,6,2,Have you identified the cause of the power outage?,First objective is to keep electricity flowing.,5,2,First objective is to keep electricity flowing.,6,mid,10.0,7,low,high,low,high,low,medium,2.6,1.8
1103,Did you see the news about John's new project?,Heard your name on TV last night.,6,2,I saw an article about a famous scientist in the newspaper today.,Heard your name on TV last night.,5,2,Heard your name on TV last night.,5,mid,3.0,7,low,medium,low,low,low,low,1.4,1.4
1104,Can we meet up on Wednesday for that project discussion?,I will try to reach you on Wednesday.,7,1,Can we meet to discuss the project proposal next week?,I will try to reach you on Wednesday.,8,2,I will try to reach you on Wednesday.,6,mid,1.0,8,medium,high,medium,low,medium,high,2.6,2.4
1105,Have you heard about the new AI system that's revolutionizing customer service?,What do you think about that sir?,5,2,I believe we should increase the marketing budget for next quarter.,What do you think about that sir?,8,2,What do you think about that sir?,6,mid,0.0,7,low,high,high,low,low,low,1.8,2.2
1106,can you meet me at the office tomorrow?,No can do.,4,1,Can you bring the blue folder from the office safe?,No can do.,6,2,No can do.,9,high,1.0,3,low,low,low,low,low,low,1.0,1.0
1107,have you seen the latest intercompany notes?,They are specifically concerned about the current intercompany notes.,5,2,Have you reviewed the latest financial reports between departments?,They are specifically concerned about the current intercompany notes.,8,2,They are specifically concerned about the current intercompany notes.,5,mid,13.0,9,medium,high,medium,high,low,medium,2.6,2.4
1108,I'm loving the sunshine today,Nice weather for it.,8,1,Let's go on a hot air balloon ride today.,Nice weather for it.,7,1,Nice weather for it.,10,high,1.0,4,medium,high,high,high,medium,high,3.0,2.6
1109,When are the Johnson's anniversary and birthday parties scheduled?,I think those are the right dates.,7,2,I checked the calendar and found possible dates for the meeting. How does the 15th and 17th of next month work for you?,I think those are the right dates.,8,2,I think those are the right dates.,8,high,3.0,7,medium,medium,medium,low,high,low,1.4,2.0
1110,Are you free this weekend?,But I hope to see you at Kari's house.,8,1,I'll pick up the potatoes on my way to Kari's house.,But I hope to see you at Kari's house.,9,1,But I hope to see you at Kari's house.,6,mid,4.0,9,low,high,low,high,low,low,2.2,1.8
1111,See you soon we're going to the beach tomorrow?,See you soon,5,3,I'll be coming home for the holiday season.,See you soon.,10,2,See you soon,5,mid,1.0,3,medium,low,low,low,high,low,1.0,1.4
1112,Can we schedule our meeting for next week?,Does Friday at 10 work for you?,7,3,I'd like to schedule a meeting next week.,Does Friday at 10 work for you?,8,2,Does Friday at 10 work for you?,7,high,0.0,7,high,high,medium,high,high,high,3.0,2.8
1113,Are you up for trying some street food tonight?,Thai sounds good.,8,2,Shall we have Thai food for dinner?,Thai sounds good.,10,1,Thai sounds good.,10,high,2.0,3,medium,medium,medium,low,high,low,1.4,2.0
1114,when is the new office building tour scheduled?,This message is about new building tour.,6,2,Have you heard about the latest construction project in town?,This message is about new building tour.,8,2,This message is about new building tour.,6,mid,3.0,7,low,high,medium,low,low,medium,2.2,2.0
1115,Can you make it to my place by 5pm?,I can be there within the hour.,8,2,Can you help me fix the leak in my roof before it rains again?,I can be there within the hour.,10,1,I can be there within the hour.,5,mid,0.0,7,low,high,high,low,high,low,1.8,2.2
1116,Can you receive attachments on your mobile?,Do you want to fax it to my hotel?,8,2,I found some important documents in your email,Do you want to fax it to my hotel?,5,2,Do you want to fax it to my hotel?,8,high,4.0,9,medium,high,medium,high,low,low,2.2,2.4
1117,Are we meeting at the airport tomorrow?,Would you like to take Cam?,6,2,Let's go hiking this weekend.,Would you like to take Cam?,8,1,Would you like to take Cam?,6,mid,-2.0,6,medium,low,low,low,low,low,1.0,1.4
1118,Are you on your way to the conference?,I'm sitting in the airport waiting on the plane.,8,1,Do you know when your flight is boarding?,I'm sitting in the airport waiting on the plane.,8,2,I'm sitting in the airport waiting on the plane.,5,mid,4.0,9,medium,high,medium,low,low,low,1.8,2.4
1119,Can you really explain why it took so long?,"I meant to try and explain, not to redo.",6,2,I'm not understanding your point in the meeting.,"I meant to try and explain, not to redo.",7,2,"I meant to try and explain, not to redo.",6,mid,0.0,9,low,high,medium,low,low,low,1.8,2.0
1120,just watched the most thrilling finale of my favorite show!,cool is it not,8,2,Have you read F. Scott Fitzgerald's The Great Gatsby?,Cool is it not.,10,2,Cool is it not.,6,mid,0.0,4,low,low,low,low,low,low,1.0,1.0
1121,Can we meet up later today?,See you later.,8,1,"I'll bring the potatoes for dinner, what should I also get from the store?",See you later.,8,2,See you later.,7,high,1.0,3,low,low,low,high,low,medium,1.8,1.0
1122,should we reschedule the meeting for tomorrow?,Is Derrick OK with it?,8,2,Derrick prefers coffee over tea at the office meeting.,Is Derrick OK with it?,8,2,Is Derrick OK with it?,5,mid,2.0,5,medium,high,medium,low,low,medium,2.2,2.4
1123,I'll be arriving at JFK on Saturday,So I'll see you at the airport?,8,2,I'll be arriving at the airport from Boston at 3 PM tomorrow.,So I'll see you at the airport?,10,1,So I'll see you at the airport?,4,mid,0.0,7,low,high,medium,low,medium,low,1.8,2.0
1124,did we really attend that party last night?,Did you differ from me?,8,2,I believe we have contrasting opinions on this matter.,Did you differ from me?,8,2,Did you differ from me?,8,high,2.0,5,medium,medium,low,low,low,low,1.4,1.8
1125,Can you help me set up the Wi-Fi in my new apartment?,Thanks for your help in quickly setting this up.,4,2,I found a solution to the network issue you were having.,Thanks for your help in quickly setting this up.,7,2,Thanks for your help in quickly setting this up.,6,mid,4.0,9,low,high,high,medium,high,low,2.0,2.2
1126,will we make it to the deadline?,Hang in there guys.,8,2,The market has experienced a significant downturn today.,Hang in there guys.,8,2,Hang in there guys.,8,high,-2.0,4,low,low,low,low,low,medium,1.4,1.0
1127,can you hear me now?,Works for me.,6,2,Do you prefer coffee or tea for your morning beverage?,Works for me.,10,1,Works for me.,8,high,1.0,3,low,low,low,low,low,medium,1.4,1.0
1128,Is the concert tonight at 7pm?,Thanks - that's what I was hoping it was.,6,2,Is the red mark on your arm a mole or a bruise?,"It's just a bruise, thanks - that's what I was hoping it was.",8,1,Thanks - that's what I was hoping it was.,2,low,2.0,9,low,high,medium,low,low,low,1.8,2.0
1129,Are you planning to invite any colleagues from the marketing department?,Just in case we haven't invited any of them.,7,2,Do you think we should send out formal invitations for the event?,Just in case we haven't invited any of them.,8,2,Just in case we haven't invited any of them.,8,high,2.0,9,low,high,medium,low,low,medium,2.2,2.0
1130,can we reschedule our meeting for tomorrow?,Didn't get a commitment.,6,2,Can we finalize the deal next week?,Didn't get a commitment.,8,2,Didn't get a commitment.,7,high,8.0,4,medium,low,low,low,low,low,1.0,1.4
1131,can you call me back at a specific number?,713 622 6405,6,2,The number you need is hidden in the next sentence. I'm at the library studying quantum physics.,713 622 6405,0,3,713 622 6405,5,mid,1.0,3,low,high,medium,high,low,medium,2.6,2.0
1132,I think I forgot to RSVP for the meeting today,Are you sure I don't need to be there?,8,2,I need you to bring the blue files for the marketing meeting next week.,Are you sure I don't need to be there?,7,2,Are you sure I don't need to be there?,5,mid,0.0,9,low,high,medium,high,low,low,2.2,2.0
1133,please notify me of any changes to the company policy,Go ahead and notify.,8,2,"I've found an important email from the HR department, what should I do?",Go ahead and notify.,10,2,Go ahead and notify.,9,high,0.0,4,low,low,low,low,low,low,1.0,1.0
1134,Who played the role of Marsha Brady on the TV show 'The Brady Bunch'?,It should be Cynthia Barow instead.,8,3,I believe John's report was written by Cynthia.,It should be Cynthia Barow instead.,7,2,It should be Cynthia Barow instead.,4,mid,2.0,6,low,medium,low,high,low,low,1.8,1.4
1135,will it snow tomorrow?,I doubt that it is forecasted.,8,3,Is it going to rain tomorrow according to the weather forecast?,I doubt that it is forecasted.,6,2,I doubt that it is forecasted.,6,mid,3.0,6,low,low,low,low,low,low,1.0,1.0
1136,Did you hear anything about the meeting that was cancelled?,If I hear anything I will let you know.,8,2,Have you heard from the HR team about the interview schedule?,If I hear anything I will let you know.,8,2,If I hear anything I will let you know.,4,mid,0.0,9,low,low,low,low,low,medium,1.4,1.0
1137,it's freezing outside!,"See, it's cold enough for hot chocolate!",8,1,I can see my breath in the air,"See, it's cold enough for hot chocolate!",10,2,"See, it's cold enough for hot chocolate!",4,mid,0.0,7,low,high,low,high,medium,high,3.0,1.8
